,TfL tube,TfL bus,Bus excl London,Cycling
2020-11-06,34.85714285714284,56.85714285714286,53.14285714285711,87.57142857142873
2020-11-07,31.71428571428569,54.142857142857146,50.857142857142826,100.857142857143
2020-11-08,28.285714285714263,50.85714285714287,47.71428571428568,105.857142857143
2020-11-09,26.285714285714263,49.28571428571429,46.14285714285711,106.71428571428588
2020-11-10,23.857142857142836,47.42857142857143,44.14285714285712,107.857142857143
2020-11-11,20.99999999999998,45.0,41.857142857142826,105.71428571428586
2020-11-12,20.857142857142836,45.142857142857146,42.4285714285714,106.42857142857156
2020-11-13,20.99999999999998,45.42857142857144,42.857142857142826,105.57142857142871
2020-11-14,21.142857142857125,45.14285714285715,42.999999999999964,91.28571428571443
2020-11-15,21.57142857142855,45.2857142857143,43.4285714285714,87.42857142857157
2020-11-16,21.714285714285694,45.2857142857143,43.4285714285714,88.28571428571445
2020-11-17,21.85714285714284,45.2857142857143,43.42857142857139,88.57142857142873
2020-11-18,21.85714285714284,45.42857142857144,43.28571428571425,86.00000000000016
2020-11-19,21.999999999999982,45.42857142857144,43.28571428571425,84.28571428571445
2020-11-20,21.999999999999982,45.2857142857143,43.14285714285711,81.14285714285731
2020-11-21,21.999999999999982,45.85714285714287,43.285714285714256,89.42857142857159
2020-11-22,21.999999999999982,46.428571428571445,43.4285714285714,101.28571428571445
2020-11-23,21.999999999999982,46.428571428571445,43.4285714285714,100.71428571428586
2020-11-24,21.999999999999982,46.428571428571445,43.42857142857139,99.71428571428585
2020-11-25,21.999999999999982,46.428571428571445,43.571428571428534,100.1428571428573
2020-11-26,21.999999999999982,46.428571428571445,43.42857142857138,101.28571428571445
2020-11-27,21.999999999999982,46.2857142857143,43.42857142857138,102.57142857142871
2020-11-28,22.142857142857125,46.2857142857143,43.71428571428567,100.00000000000016
2020-11-29,22.142857142857125,46.00000000000001,43.85714285714282,94.28571428571446
2020-11-30,22.285714285714267,46.00000000000001,43.99999999999996,92.57142857142874
2020-12-01,22.428571428571413,46.28571428571429,44.42857142857138,93.14285714285731
2020-12-02,23.428571428571413,47.42857142857143,45.714285714285666,95.14285714285731
2020-12-03,24.571428571428555,48.28571428571429,46.71428571428567,88.85714285714302
2020-12-04,26.142857142857125,49.85714285714286,47.85714285714281,88.4285714285716
2020-12-05,29.142857142857125,52.142857142857146,49.99999999999996,87.85714285714302
2020-12-06,31.85714285714284,54.42857142857142,51.99999999999996,80.57142857142875
2020-12-07,32.85714285714283,55.42857142857143,53.285714285714235,81.4285714285716
2020-12-08,33.99999999999998,56.42857142857143,53.99999999999996,80.14285714285731
2020-12-09,34.571428571428555,56.42857142857143,53.99999999999997,79.00000000000017
2020-12-10,34.99999999999998,56.99999999999999,54.285714285714256,82.4285714285716
2020-12-11,35.28571428571426,56.99999999999999,54.57142857142854,83.00000000000016
2020-12-12,35.714285714285694,57.14285714285713,54.857142857142826,83.57142857142873
2020-12-13,35.571428571428555,56.99999999999999,54.57142857142855,79.00000000000016
2020-12-14,35.999999999999986,57.14285714285714,54.428571428571416,79.71428571428588
2020-12-15,36.7142857142857,57.428571428571416,54.57142857142856,81.00000000000017
2020-12-16,35.999999999999986,56.85714285714284,53.99999999999999,79.57142857142874
2020-12-17,35.28571428571428,56.285714285714285,53.99999999999999,82.00000000000017
2020-12-18,34.28571428571428,55.428571428571416,53.14285714285714,79.42857142857159
2020-12-19,32.7142857142857,54.7142857142857,53.142857142857146,77.28571428571443
2020-12-20,30.142857142857128,52.85714285714285,53.714285714285715,87.28571428571445
2020-12-21,28.285714285714274,50.85714285714285,51.57142857142857,83.42857142857157
2020-12-22,25.857142857142847,48.57142857142856,49.42857142857143,81.71428571428588
2020-12-23,24.571428571428562,47.428571428571416,47.57142857142857,78.00000000000017
2020-12-24,23.57142857142856,46.28571428571427,43.714285714285715,75.00000000000017
2020-12-25,,,,70.4285714285716
2020-12-26,,,,66.85714285714303
2020-12-27,,,,62.857142857143025
2020-12-28,,,,63.57142857142873
2020-12-29,,,,61.42857142857159
2020-12-30,,,,64.00000000000016
2020-12-31,,,,59.71428571428588
2021-01-01,15.99999999999999,38.99999999999997,,61.285714285714455
2021-01-02,16.857142857142843,40.14285714285711,,63.14285714285731
2021-01-03,17.57142857142856,40.428571428571395,,62.14285714285731
2021-01-04,16.7142857142857,38.428571428571395,,63.4285714285716
2021-01-05,16.7142857142857,37.4285714285714,,64.00000000000017
2021-01-06,16.571428571428555,35.99999999999997,,64.14285714285732
2021-01-07,16.428571428571416,34.571428571428534,,65.00000000000018
2021-01-08,16.999999999999986,33.57142857142854,26.14285714285715,66.28571428571446
2021-01-09,16.857142857142847,33.4285714285714,25.857142857142872,66.57142857142875
2021-01-10,16.142857142857135,32.71428571428569,25.00000000000001,67.85714285714303
2021-01-11,15.714285714285706,32.14285714285711,24.57142857142858,68.7142857142859
2021-01-12,15.571428571428564,31.857142857142822,24.57142857142858,69.57142857142875
2021-01-13,15.285714285714278,31.57142857142854,24.57142857142858,68.7142857142859
2021-01-14,15.142857142857133,31.285714285714256,24.142857142857153,66.14285714285734
2021-01-15,15.142857142857133,31.428571428571395,24.285714285714295,67.71428571428591
2021-01-16,14.857142857142843,31.142857142857107,24.142857142857153,64.71428571428591
2021-01-17,14.857142857142843,31.428571428571395,24.428571428571438,72.85714285714305
2021-01-18,14.857142857142843,31.428571428571395,24.57142857142858,74.57142857142875
2021-01-19,14.714285714285701,31.428571428571395,24.57142857142858,73.28571428571448
2021-01-20,14.714285714285701,31.57142857142854,24.428571428571438,71.42857142857162
2021-01-21,14.714285714285701,31.857142857142822,25.00000000000001,77.28571428571448
2021-01-22,14.714285714285701,31.99999999999997,25.285714285714295,81.42857142857162
2021-01-23,14.857142857142843,32.428571428571395,25.571428571428584,88.71428571428591
2021-01-24,14.57142857142856,31.857142857142822,25.2857142857143,73.14285714285734
2021-01-25,14.714285714285701,31.99999999999997,25.14285714285716,67.71428571428591
2021-01-26,14.857142857142843,31.99999999999997,25.14285714285716,66.14285714285735
2021-01-27,14.999999999999988,32.14285714285711,25.57142857142859,71.0000000000002
2021-01-28,15.14285714285713,32.285714285714256,25.71428571428574,71.42857142857162
2021-01-29,15.14285714285713,32.285714285714256,25.71428571428574,69.57142857142877
2021-01-30,15.285714285714278,31.99999999999997,25.71428571428574,63.14285714285733
2021-01-31,15.714285714285703,32.71428571428569,26.00000000000003,71.85714285714305
2021-02-01,15.714285714285703,32.85714285714283,26.285714285714317,74.57142857142875
2021-02-02,15.857142857142845,33.14285714285711,26.000000000000036,75.42857142857162
2021-02-03,15.99999999999999,33.28571428571426,26.000000000000036,75.42857142857162
2021-02-04,15.99999999999999,33.28571428571426,26.142857142857178,76.14285714285734
2021-02-05,16.14285714285713,33.57142857142855,26.285714285714324,78.00000000000018
2021-02-06,16.285714285714274,33.99999999999998,26.428571428571463,85.0000000000002
2021-02-07,16.714285714285705,34.571428571428555,26.285714285714324,78.71428571428591
2021-02-08,16.714285714285705,34.28571428571426,25.857142857142897,75.71428571428591
2021-02-09,16.714285714285705,33.99999999999998,26.142857142857178,74.42857142857162
2021-02-10,16.714285714285705,33.99999999999998,26.142857142857178,70.14285714285734
2021-02-11,16.857142857142847,34.14285714285712,26.142857142857174,64.00000000000018
2021-02-12,16.99999999999999,33.99999999999997,26.000000000000036,57.428571428571615
2021-02-13,17.42857142857142,34.57142857142855,26.00000000000003,48.71428571428589
2021-02-14,17.42857142857142,34.57142857142855,26.00000000000003,48.85714285714304
2021-02-15,17.571428571428562,35.4285714285714,26.428571428571455,55.71428571428589
2021-02-16,17.714285714285705,36.28571428571426,26.71428571428574,58.85714285714304
2021-02-17,17.857142857142847,36.99999999999997,26.71428571428574,62.28571428571447
2021-02-18,17.99999999999999,37.71428571428569,26.714285714285737,68.57142857142875
2021-02-19,17.99999999999999,38.42857142857141,26.714285714285737,72.14285714285734
2021-02-20,18.285714285714278,38.42857142857141,27.000000000000018,82.42857142857163
2021-02-21,18.42857142857142,38.28571428571426,27.57142857142859,97.28571428571449
2021-02-22,18.571428571428562,37.71428571428569,27.857142857142875,95.14285714285734
2021-02-23,18.714285714285705,37.4285714285714,28.142857142857164,96.85714285714305
2021-02-24,18.857142857142847,36.99999999999998,28.42857142857145,98.14285714285734
2021-02-25,18.857142857142847,36.57142857142855,28.857142857142875,101.28571428571449
2021-02-26,19.142857142857135,36.57142857142855,29.571428571428587,108.57142857142877
2021-02-27,19.285714285714278,37.28571428571426,30.14285714285716,118.85714285714306
2021-02-28,19.142857142857135,37.4285714285714,30.714285714285733,123.57142857142878
2021-03-01,19.285714285714278,37.71428571428569,30.85714285714288,124.42857142857164
2021-03-02,19.285714285714278,37.71428571428569,31.00000000000002,125.14285714285738
2021-03-03,19.285714285714278,37.71428571428569,31.142857142857167,124.1428571428574
2021-03-04,19.285714285714278,37.57142857142855,31.142857142857167,120.85714285714313
2021-03-05,19.285714285714278,37.28571428571426,31.00000000000002,116.57142857142884
2021-03-06,18.999999999999993,36.4285714285714,31.00000000000002,109.14285714285738
2021-03-07,18.999999999999993,36.57142857142855,30.857142857142883,104.85714285714312
2021-03-08,19.285714285714278,37.57142857142855,31.857142857142883,105.71428571428594
2021-03-09,19.857142857142847,39.28571428571427,33.42857142857145,110.14285714285738
2021-03-10,20.285714285714278,40.571428571428555,34.71428571428574,108.42857142857167
2021-03-11,20.85714285714285,42.28571428571426,36.28571428571431,106.85714285714309
2021-03-12,21.28571428571428,43.85714285714283,37.85714285714288,106.42857142857164
