,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
2021-01-17,14.740768400711142,9.298820952326796,14.529468339783161,17.13817852885632,18.17185088178707,11.865981997624115,16.14869187791765
2021-01-18,15.271440396495361,9.251229121344346,14.09379165064817,17.533779511017663,17.871243049441727,11.998013249498195,16.24195498961394
2021-01-19,14.6693148525601,9.056961254785074,13.999077896660221,17.51390066948277,17.065765302787515,11.971235295259772,15.8163583943867
2021-01-20,14.710264893510141,8.928059085066577,13.667580181081604,17.925923634697224,15.468133342201863,11.653944199717076,14.47405139069198
2021-01-21,13.978248284056205,9.059793379480299,13.21418170600219,18.18139238606847,15.467025578997324,10.827287090592433,13.608750294497325
2021-01-22,13.71976480250405,8.802436278332184,13.099943093904512,17.74783808611741,15.385804414604014,10.450850404162704,13.713820662725587
2021-01-23,13.746964584905793,8.605812029481,12.394786155488218,17.47852118220453,15.153828331382044,10.43736698806588,14.047989417946974
2021-01-24,13.56851571736976,8.70028427435167,12.105956119657092,18.026481320957508,14.547372028544286,10.555240953712296,13.998497268569656
2021-01-25,12.340289873256369,8.454716171687396,12.521625541704179,17.968165377916062,14.733069546988284,10.504476340481903,13.141144017991072
2021-01-26,12.65155939998257,8.397339584151139,12.633571278251756,18.048269279676017,15.329961953907077,10.333636435416418,13.423244618329127
